dance_style,dance_level,figure_number,name,measures,components
Waltz,Bronze 1,1,Box Step,2,Box Step Forward and Back
Waltz,Bronze 1,1a,Left Turning Box,4,Left Box Turn x 4
Waltz,Bronze 1,1b,Right Turning Box,4,"LF Forward Change, Right Turning Box x 3"
Waltz,Bronze 1,2,Side Hesitations,4,"Side Hesitations, Side Balance Steps"
Waltz,Bronze 1,2a,Forward and Back Hesitations,4,Forward and Back Hesitations x 2
Waltz,Bronze 1,2b,Promenade and Counter Promenade Breaks,4,Promenade and Counter Promenade Breaks
Waltz,Bronze 1,2c,Open Break and Underarm Turn,4,"Forward Change, Open Break and UATR, RF Hesitation"
Waltz,Bronze 1,3,Slow Underarm Turn Right,4,Box with Slow Underarm Turn Right
Waltz,Bronze 1,3a,Left Side Twinkle,4,"Left Box Turn to Left Side Twinkle, Left Turning Box x 2"
Waltz,Bronze 1,3b,Left Side Forward Hesitations,8,"Slow Underarm Turn x 2, Left Side Forward Hesitations, Left Side Closed Twinkle, Left Turning Box x 3"
Waltz,Bronze 2,4,Forward Change Steps,4,Forward Change Steps x 4
Waltz,Bronze 2,4a,Right Outside Partner Twinkles,4,Right Outside Partner Twinkle and Closed Twinkle x 2
Waltz,Bronze 2,4b,Back Change Steps,8,"Left Box Turn x 2, Back Change Steps x 2, Right Box Turn x 2, Underarm Turn Right and Hesitation"
Waltz,Bronze 2,5,Right Side Twinkle,4,"Change Step x 1, Right Box Turn to Right Side Twinkle, Open Facing Twinkle"
Waltz,Bronze 2,5a,Outside Underarm Switch Turn,8,"Change Step x 1, Right Box Turn to Right Side Twinkle, Outside Undearm Switch Turn,Open Facing Twinkle, Open Break with UATL"
Waltz,Bronze 2,5b,Back Outside Partner Twinkle,8,"Change Step x 1, Right Box to Right Side Twinkle, Open Facing Twinkle, Left Box Turn x 1, Reverse Corte, Back Outside Partner Twinkle, RF Hesitation"
Waltz,Bronze 2,6,Promenade Twinkle,2,Promenade Twinkle
Waltz,Bronze 2,6a,Right and Left Side Twinkles,8,"Left Box Turn x 2, Turning Right and Left Side Twinkles, Promenade Twinkle (Leader Turn), Closed Finish, Balance and Box"
Waltz,Bronze 2,6b,Forward Left Side Twinkles,6,"Promenade Twinkle, Promenade Crossbody Check to LSP, Forward Left Side Twinkles, Left Side to Promenade Twinkle Follower's Turn, Closed Finish"
Waltz,Bronze 3,7,Reverse Turn,2,Reverse Turn
Waltz,Bronze 3,7a,Cross Body Lead,4,"Forward Half of Reverse Turn, Cross Body Lead, Box Step x 2"
Waltz,Bronze 3,7b,Half Grapevine Forward,4,"Half Grapevine Forward, Back Half of Reverse Turn with Underarm Turn Left, Reverse Turn"
Waltz,Bronze 3,7c,Reverse Corte,4,"Reverse Turn x 1, Reverse Corte, Back Twinkle with Follower's Inside Underarm Turn, Closed Finish"
Waltz,Bronze 3,8,Progressive Outside Partner Twinkles,4,Progressive Outside Partner Twinkles x 4 (Handshake)
Waltz,Bronze 3,8a,Cross Lead and Twinkle,4,"Reverse Turn x 1, Cross Body Lead to OPL, Outside Partner Twinkle, Closed Finish with Follower's Underarm Turn Right"
Waltz,Bronze 3,8b,Twinkle Connection from OPL,4,"Progressive Outside Partner Twinkles x 2, Twinkle Connection from OPL, Closed Finish"
Waltz,Bronze 3,9,Natural Turn,2,Natural Turn
Waltz,Bronze 3,9a,Natural Turn with Underarm Turn Right,4,"Forward Change Step, Natural Turn with Underarm Turn Right, Forward Change Step"
Waltz,Bronze 3,9b,Open Break and Back Spot Turn,4,"Change Step, Open Break, Back Spot Turn, Balance Step to Right"
Waltz,Bronze 4,10,Promenade to Counter Promenade Twinkle,4,"Promenade Twinkle to Counter Promenade Twinkles with Follower's Turn, Closed Finish"
Waltz,Bronze 4,10a,Flip Flop,4,"Promenade Twinkle to Counter Promenade Twinkles with Leaders and Follower's Turn, Closed Finish"
Waltz,Bronze 4,11,Pivot from PP,8,"Promenade Hesitation, Promenade Chasse, Pivot from Promenade to CP, Back Progressive Outside Partner Twinkles, Back Promenade Chasse, Closed Finish"
Waltz,Bronze 4,11a,Waterfall,8,"Promenade Twinkle, Promenade Chasse, Cross Body Check to LSP, Waterfall, Promenade Chasse, Closed Finish"
Tango,Bronze 1,1,Tango Basic,2,"2 Walks, Tango Close"
Tango,Bronze 1,1a,Curving Basic,4,Curving Basic x 2
Tango,Bronze 1,1b,Outside Partner Basic,4,"Tango Basic, Outside Partner Basic"
Tango,Bronze 1,2,Corte,2,"Corte, Tango Close"
Tango,Bronze 1,2a,Back Corte,2,"Corte, Back Tango Close, Turn to Promenade in Place"
Tango,Bronze 1,2b,Rock Turn,4,"Walk, Rock Turn, Back Tango Close, Forward Tango Close"
Tango,Bronze 1,3,Promenade Left Turn,2,"Promenade Left Turn, Tango Close"
Tango,Bronze 1,3a,Promenade Right Turn,2,"Promenade Right Turn, Tango Close"
Tango,Bronze 1,3b,Check to Left Side,4,"Promenade Left Turn, Check to Left Side, Left Side Walks, Left Side Tango Close"
Tango,Bronze 1,3c,Left Side Underarm Turn,2,Left Side Curve Basic with Underarm Turn
Tango,Bronze 2,4,Running Steps,4,"2 Walks, Progressive Side Step, 2 Walks, Progressive Side Step, Tango Close"
Tango,Bronze 2,4a,Progressive Rocks,4,"2 Walks, LF Forward Rocks, RF Forward Rocks, Tango Close"
Tango,Bronze 2,4b,Basic to Outside Partner Fans,4,"2 Walks, Outside Partner Fans, Tango Close from OPL, Tango Close"
Tango,Bronze 2,4c,Progressive Side Step Reverse Turn,6,"2 Walks, Progressive Side Step Reverse Turn, LF Back Rock, RF Back Rock, Back Corte, Back Tango Close "
